CD_MUN;NM_MUN;V00001;V00002;V00003;V00004;V00005;V00006;V00007;V00008;V00009;V00010;V00011;V00012;V00013;V00014;V00015;V00016;V00017;V00018;V00019;V00020;V00021;V00022;V00023;V00024;V00025;V00026;V00027;V00028;V00029;V00030;V00031;V00032;V00033;V00034;V00035;V00036;V00037;V00038;V00039;V00040;V00041;V00042;V00043;V00044;V00045;V00046;V00047;V00048;V00049;V00050;V00051;V00052;V00053;V00054;V00055;V00056;V00057;V00058;V00059;V00060;V00061;V00062;V00063;V00064;V00065;V00066;V00067;V00068;V00069;V00070;V00071;V00072;V00073;V00074;V00075;V00076;V00077;V00078;V00079;V00080;V00081;V00082;V00083;V00084;V00085;V00086;V00087;V00088;V00089
3556206;Valinhos;46354;7;207;46354;126069;26;247;13396;0;6;61355;13;127;64714;7;117;7528;14756;12346;8254;2361;612;99;15;0;3;3;4;0;0;0;0;0;0;0;0;195;0;0;0;0;0;0;0;0;0;31970;4072;9889;145;0;206;6;0;0;0;0;0;128;27;27;0;3;22;0;0;0;0;0;126069;13396;61355;64714;7528;14756;12346;8254;2361;612;99;15;0;3;90118;11904;23149;9101;1257;2884
3556305;Valparaíso;7763;6;2894;7763;21282;21;2897;2915;0;0;10594;8;2893;10688;5;3;1584;2083;1950;1393;489;138;21;0;0;0;0;0;0;0;0;0;0;0;0;0;2894;0;0;0;0;0;0;0;0;0;7647;93;6;7;0;0;0;3;0;0;0;0;0;3;0;2880;0;4;0;0;5;0;0;21282;2915;10594;10688;1584;2083;1950;1393;489;138;21;0;0;0;20990;268;6;2868;44;0
3556354;Vargem;3658;0;0;3658;10491;9;5;1394;3;0;5354;3;5;5137;3;0;540;1113;979;599;262;84;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3622;14;6;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10491;1394;5354;5137;540;1113;979;599;262;84;13;0;0;0;10396;57;26;1382;4;4
3556404;Vargem Grande do Sul;14591;0;96;14591;40017;9;96;4748;0;0;19650;3;74;20367;0;21;2569;4545;3710;2405;855;292;47;11;0;0;0;0;0;0;0;0;0;0;0;0;96;0;0;0;0;0;0;0;0;0;14269;21;277;0;0;0;0;0;0;0;0;0;37;0;0;0;0;0;0;57;0;0;0;40017;4748;19650;20367;2569;4545;3710;2405;855;292;47;11;0;0;39334;62;612;4679;3;35
3556453;Vargem Grande Paulista;17645;0;66;17645;50315;0;67;6563;0;0;24583;0;23;25732;0;44;3053;4797;4541;3285;1247;345;86;13;0;0;0;0;0;0;0;0;0;0;0;0;65;0;0;0;0;0;0;0;0;0;14788;2098;724;7;0;0;0;0;0;0;0;0;59;0;0;0;4;3;0;0;0;0;0;50315;6563;24583;25732;3053;4797;4541;3285;1247;345;86;13;0;0;42483;6088;1711;5514;774;248
3556503;Várzea Paulista;40492;15;102;40492;115557;54;157;14887;0;0;57219;25;82;58338;20;71;6554;11420;10431;7696;2978;779;155;10;3;0;0;0;0;0;0;0;0;0;0;0;80;9;0;8;0;0;0;0;0;0;38268;239;1886;19;0;0;0;12;0;0;0;0;73;0;3;0;21;0;0;5;0;0;0;115557;14887;57219;58338;6554;11420;10431;7696;2978;779;155;10;3;0;109680;801;4940;13961;108;769
3556602;Vera Cruz;3569;0;36;3569;10127;0;36;1120;0;0;4945;0;19;5182;0;16;605;1042;886;631;256;81;22;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;0;0;0;0;0;0;0;3562;0;0;0;0;0;0;0;0;0;0;0;32;0;0;0;0;0;4;0;0;0;0;10127;1120;4945;5182;605;1042;886;631;256;81;22;0;0;0;10109;9;0;1118;0;0
3556701;Vinhedo;27415;0;243;27415;76282;3;249;8860;0;6;37092;0;120;39190;0;127;4579;8051;7055;5301;1661;429;63;0;0;3;0;0;0;0;0;0;0;0;0;0;236;3;0;0;0;0;0;0;0;0;20514;3138;3702;20;0;0;0;0;0;0;0;0;107;41;4;0;49;19;0;11;12;0;0;76282;8860;37092;39190;4579;8051;7055;5301;1661;429;63;0;0;3;58042;9118;9034;6536;1097;1189
3556800;Viradouro;6225;0;31;6225;17364;0;31;2120;0;0;8571;0;16;8793;0;12;1036;1839;1614;1128;396;124;22;0;0;0;0;0;0;0;0;0;0;0;0;0;31;0;0;0;0;0;0;0;0;0;6209;10;0;0;0;0;0;0;0;0;0;0;28;0;0;0;0;0;0;0;0;0;0;17364;2120;8571;8793;1036;1839;1614;1128;396;124;22;0;0;0;17325;38;0;2115;3;0
3556909;Vista Alegre do Alto;2865;0;0;2865;8104;0;0;1122;0;0;4105;0;0;3999;0;0;460;823;771;512;204;60;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2856;4;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8104;1122;4105;3999;460;823;771;512;204;60;13;0;0;0;8086;9;9;1121;0;0
3556958;Vitória Brasil;693;0;0;693;1794;0;0;174;0;0;919;0;0;875;0;0;130;236;177;108;26;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;692;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1794;174;919;875;130;236;177;108;26;10;0;0;0;0;1792;0;0;174;0;0
3557006;Votorantim;44333;132;38;44333;126897;401;39;16129;95;16;62077;227;17;64820;171;19;6887;12770;11713;8212;3035;958;258;64;6;3;26;31;22;18;8;4;0;0;0;0;37;0;0;0;0;0;0;0;0;0;34504;1431;8298;17;0;10;106;3;22;0;0;0;0;0;0;0;4;0;0;7;27;0;0;126897;16129;62077;64820;6887;12770;11713;8212;3035;958;258;64;6;3;101991;4114;20620;12292;672;3112
3557105;Votuporanga;37338;3;70;37338;96504;10;90;10788;0;0;46524;3;34;49980;4;56;7344;12415;9587;5523;1674;469;87;11;0;0;0;0;0;0;0;0;0;0;0;0;70;0;0;0;0;0;0;0;0;0;34560;190;2537;7;0;0;0;0;0;0;0;0;64;0;0;0;0;6;0;0;0;0;0;96504;10788;46524;49980;7344;12415;9587;5523;1674;469;87;11;0;0;90936;554;4968;10242;80;408
3557154;Zacarias;1055;0;0;1055;2690;0;0;310;0;0;1339;0;0;1351;0;0;215;354;265;141;55;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1051;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2690;310;1339;1351;215;354;265;141;55;6;0;0;0;0;2682;6;0;310;0;0
3557204;Chavantes;4343;0;37;4343;12164;3;39;1547;0;0;5922;0;13;6242;0;25;785;1231;1114;732;313;82;18;0;0;0;0;0;0;0;0;0;0;0;0;0;33;0;0;0;0;0;0;0;0;0;4341;0;0;0;0;0;0;0;0;0;0;0;33;0;0;0;0;4;0;0;0;0;0;12164;1547;5922;6242;785;1231;1114;732;313;82;18;0;0;0;12153;7;0;1544;0;0
3557303;Estiva Gerbi;3812;0;52;3812;11236;6;52;1431;0;0;5590;0;52;5646;0;0;504;1029;1093;725;293;86;16;3;0;0;0;0;0;0;0;0;0;0;0;0;52;0;0;0;0;0;0;0;0;0;3641;155;11;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52;0;0;0;11236;1431;5590;5646;504;1029;1093;725;293;86;16;3;0;0;10777;427;22;1348;78;0
